chest	members	bonus	extraId	extraDesc
10453	10453,10612,10955,10703	Max CP +209, CP regeneration +47.2%.		
445	445,475,10613,2486,582	MP regeneration +3.4%, M. Atk. +6.8%, INT +2, WIT -2.		
10454	10454,10529,10614,11014,10704	MP regeneration +4%, M. Atk. +8%, INT +2, WIT -2.		
10455	10455,10530,10615,11015,10705	MP regeneration +4.7%, M. Atk. +9.4%, INT +2, WIT -2.		
446	446,476,532,2480,588	M. Atk. +8.5%, MP regeneration -4.2%.		
10456	10456,10531,10616,11004,10714	M. Atk. +10%, MP regeneration -5%.		
10457	10457,10532,10617,11005,10715	M. Atk. +11.8%, MP regeneration -5.9%.		
447	447,477,10618,2480,584	Casting Spd. +12.7%, M. Def. +6.8%.		
10458	10458,10533,10619,11004,10706	Casting Spd. +15%, M. Def. +8%.		
10459	10459,10534,10620,11005,10707	Casting Spd. +17.7%, M. Def. +9.4%.		
448	448,534,11018,585	Max MP +175, MP regeneration +4.5%, WIT +3, INT -2.		
10460	10460,10621,2489,10708	Max MP +206, MP regeneration +5.3%, WIT +3, INT -2.		
10461	10461,10622,11019,10709	Max MP +243, MP regeneration +6.2%, WIT +3, INT -2.		
449	449,478,10623,2480,586	P. Def. +6.8%, Casting Spd. +12.7%, Speed +6.		
10462	10462,10535,10624,11004,10710	P. Def. +8%, Casting Spd. +15%, Speed +7.		
10463	10463,10536,10625,11005,10711	P. Def. +9.4%, Casting Spd. +17.7%, Speed +8.		
450	450,536,2480,587	M. Atk. +14.5%, Speed +6, Weight limit +4895.		
10464	10464,10626,11004,10712	M. Atk. +17%, Speed +7, Weight limit +5759.		
10465	10465,10627,11005,10713	M. Atk. +20.1%, Speed +8, Weight limit +6796.		
451	451,479,10628,2480,588	Max MP +204, Casting Spd. +12.7%, MP regeneration +6.8%.		
10466	10466,10537,10629,11004,10714	Max MP +240, Casting Spd. +15%, MP regeneration +8%.		
10467	10467,10538,10630,11005,10715	Max MP +283, Casting Spd. +17.7%, MP regeneration +9.4%.		
452	452,480,538,10999,10716	Max CP +150, CP regeneration +34%.		
10468	10468,10539,10631,2470,589	Max CP +177, CP regeneration +40%.		
10469	10469,10540,10632,11000,10717	Max CP +209, CP regeneration +47.2%.		
453	453,481,10633,2481,590	MP regeneration +3.4%, M. Atk. +6.8%, INT +2, WIT -2.		
10470	10470,10541,10634,11006,10718	MP regeneration +4%, M. Atk. +8%, INT +2, WIT -2.		
10471	10471,10542,10635,11007,10719	MP regeneration +4.7%, M. Atk. +9.4%, INT +2, WIT -2.		
454	454,540,2480,591	M. Atk. +8.5%, MP regeneration -4.2%.		
10472	10472,10636,11004,10720	M. Atk. +10%, MP regeneration -5%.		
10473	10473,10637,11005,10721	M. Atk. +11.8%, MP regeneration -5.9%.		
455	455,482,10638,11016,10722	Casting Spd. +12.7%, M. Def. +6.8%.		
10474	10474,10543,10639,2488,592	Casting Spd. +15%, M. Def. +8%.		
10475	10475,10544,10640,11017,10723	Casting Spd. +17.7%, M. Def. +9.4%.		
456	456,483,542,11010,10724	Max MP +175, MP regeneration +4.5%, WIT +3, INT -2.		
10476	10476,10545,10641,2484,593	Max MP +206, MP regeneration +5.3%, WIT +3, INT -2.		
10477	10477,10546,10642,11011,10725	Max MP +243, MP regeneration +6.2%, WIT +3, INT -2.		
457	457,484,10643,2480,594	P. Def. +6.8%, Casting Spd. +12.7%, Speed +6.		
10478	10478,10547,10644,11004,10726	P. Def. +8%, Casting Spd. +15%, Speed +7.		
10479	10479,10548,10645,11005,10727	P. Def. +9.4%, Casting Spd. +17.7%, Speed +8.		
458	458,544,2467,595	M. Atk. +14.5%, Speed +6, Weight limit +4895.		
10480	10480,10646,10995,10728	M. Atk. +17%, Speed +7, Weight limit +5759.		
10481	10481,10647,10996,10729	M. Atk. +20.1%, Speed +8, Weight limit +6796.		
459	459,512,2474,2442	Max MP +240, Casting Spd. +15%, MP regeneration +8%.		
10482	10482,10572,11001,10930	Max MP +283, Casting Spd. +17.7%, MP regeneration +9.4%.		
460	460,2421,2473,2444	Max CP +209, CP regeneration +47.2%.		
1100	1100,412,41,48,1122	MP regeneration +1.4%, M. Atk. +2.8%, INT +2, WIT -2.		
10735	10735,10333,10090,10124,10765	MP regeneration +2%, M. Atk. +4%, INT +2, WIT -2.		
10736	10736,10334,10091,10125,10766	MP regeneration +2.7%, M. Atk. +5.4%, INT +2, WIT -2.		
10737	10737,10335,10092,10126,10767	MP regeneration +3.4%, M. Atk. +6.8%, INT +2, WIT -2.		
10738	10738,10336,10093,10127,10768	MP regeneration +4%, M. Atk. +8%, INT +2, WIT -2.		
10739	10739,10337,10094,10128,10769	MP regeneration +4.7%, M. Atk. +9.4%, INT +2, WIT -2.		
1101	1101,1104,44,48,35	Casting Spd. +15%.		
10740	10740,10750,10105,10124,10065	Casting Spd. +21.4%.		
10741	10741,10751,10106,10125,10066	Casting Spd. +29.1%.		
10742	10742,10752,10107,10126,10067	Casting Spd. +36.4%.		
10743	10743,10753,10108,10127,10068	Casting Spd. +42.9%.		
10744	10744,10754,10109,10128,10069	Casting Spd. +50.6%.		
1102	1102,1105,41,48,35	M. Atk. +3.5%, MP regeneration -1.7%.		
10745	10745,10755,10090,10124,10065	M. Atk. +5%, MP regeneration -2.5%.		
10746	10746,10756,10091,10125,10066	M. Atk. +6.8%, MP regeneration -3.4%.		
10747	10747,10757,10092,10126,10067	M. Atk. +8.5%, MP regeneration -4.2%.		
10748	10748,10758,10093,10127,10068	M. Atk. +10%, MP regeneration -5%.		
10749	10749,10759,10094,10128,10069	M. Atk. +11.8%, MP regeneration -5.9%.		
1146	1146,1147,42,49,37	M. Def. +1.8%, Weight limit +2028.		
10770	10770,10775,10095,10129,10075	M. Def. +2.6%, Weight limit +2898.		
10771	10771,10776,10096,10130,10076	M. Def. +3.6%, Weight limit +3941.		
10772	10772,10777,10097,10131,10077	M. Def. +4.5%, Weight limit +4926.		
10773	10773,10778,10098,10132,10078	M. Def. +5.2%, Weight limit +5795.		
10774	10774,10779,10099,10133,10079	M. Def. +6.2%, Weight limit +6838.		
2376	2376,2379,2415,5714,5730	Max HP +294.	673	rShld +24%.
10785	10785,10791,10863,11026,11050	Max HP +346.	673	rShld +24%.
10786	10786,10792,10864,11027,11051	Max HP +408.	673	rShld +24%.
2381	2381,2417,5722,5738	Max HP +320, Breath +200, STR -3, CON +3.	110	rShld +24%.
10795	10795,10867,11038,11062	Max HP +376, Breath +235, STR -3, CON +3.	110	rShld +24%.
10796	10796,10868,11039,11063	Max HP +444, Breath +278, STR -3, CON +3.	110	rShld +24%.
2382	2382,547,5768,5780	Atk. Spd. +8%, Weight limit +5759, Poison resistance +80%, Bleed resistance +80%, STR +2, CON -2.		
10797	10797,10648,11071,11083	Atk. Spd. +9.4%, Weight limit +6796, Poison resistance +94%, Bleed resistance +94%, STR +2, CON -2.		
2383	2383,2419,5774,5786	P. Atk. +4%, Accuracy +3, Stun resistance +50%, STR +2, CON -2.		
10798	10798,10870,11077,11089	P. Atk. +4.7%, Accuracy +4, Stun resistance +59%, STR +2, CON -2.		
2384	2384,2388,503,5711,5727	Evasion +4.		
10799	10799,10810,10556,11022,11046	Evasion +5.		
10800	10800,10811,10557,11023,11047	Evasion +6.		
2385	2385,2389,512,5766,5778	Atk. Spd. +4%, P. Atk. +4%, Paralysis resistance +50%, STR +1, CON -1.		
10801	10801,10812,10572,11069,11081	Atk. Spd. +4.7%, P. Atk. +4.7%, Paralysis resistance +59%, STR +1, CON -1.		
2390	2390,2415,5715,5731	M. Def. +5.2%, Weight limit +5795.		
10813	10813,10863,11028,11052	M. Def. +6.2%, Weight limit +6818.		
10814	10814,10864,11029,11053	M. Def. +7.3%, Weight limit +8045.		
2391	2391,2416,5719,5735	P. Def. +5.2%, Casting Spd. +15%, INT -2, MEN +3, WIT -1.		
10815	10815,10865,11034,11058	P. Def. +6.2%, Casting Spd. +17.7%, INT -2, MEN +3, WIT -1.		
10816	10816,10866,11035,11059	P. Def. +7.3%, Casting Spd. +20.8%, INT -2, MEN +3, WIT -1.		
2392	2392,2417,5723,5739	Breath +200, P. Atk. +2.7%, MP regeneration +2.5%, STR -1, CON -2, DEX +3, Poison resistance +20%.		
10817	10817,10867,11040,11064	Breath +235, P. Atk. +3.2%, MP regeneration +2.9%, STR -1, CON -2, DEX +3, Poison resistance +24%.		
10818	10818,10868,11041,11065	Breath +278, P. Atk. +3.8%, MP regeneration +3.5%, STR -1, CON -2, DEX +3, Poison resistance +28%.		
2393	2393,547,5769,5781	MP regeneration +8%, Max MP +222, Poison resistance +80%, Bleed resistance +80%, MEN +2, WIT -2.		
10819	10819,10648,11072,11084	MP regeneration +9.4%, Max MP +262, Poison resistance +94%, Bleed resistance +94%, MEN +2, WIT -2.		
2394	2394,2418,5772,5784	M. Def. +4%, Sleep resistance +70%, Root resistance +70%, HP drain +3, DEX +1, CON -1.		
10820	10820,10869,11075,11087	M. Def. +4.7%, Sleep resistance +83%, Root resistance +83%, HP drain +4, DEX +1, CON -1.		
2395	2395,2419,5775,5787	P. Atk. +8%, Max MP +240, Weight limit +5759, Stun resistance +50%, DEX +1, CON -1.		
10821	10821,10870,11078,11090	P. Atk. +9.4%, Max MP +283, Weight limit +6796, Stun resistance +59%, DEX +1, CON -1.		
2396	2396,2401,10552,2450,2426	Casting Spd. +7.5%, M. Def. +4%.		
10822	10822,10833,499,10948,10887	Casting Spd. +10.2%, M. Def. +5.4%.		
10823	10823,10834,10553,10949,10888	Casting Spd. +12.7%, M. Def. +6.8%.		
10824	10824,10835,10554,10950,10889	Casting Spd. +15%, M. Def. +8%.		
10825	10825,10836,10555,10951,10890	Casting Spd. +17.7%, M. Def. +9.4%.		
2397	2397,2402,503,5712,5728	M. Atk. +10%, MP regeneration -5%.		
10826	10826,10837,10556,11024,11048	M. Atk. +11.8%, MP regeneration -5.9%.		
10827	10827,10838,10557,11025,11049	M. Atk. +13.9%, MP regeneration -6.9%.		
2398	2398,2403,2416,5720,5736	Max MP +206, MP regeneration +5.3%, INT -2, MEN -1, WIT +3.		
10828	10828,10839,10865,11036,11060	Max MP +242, MP regeneration +6.2%, INT -2, MEN -1, WIT +3.		
10829	10829,10840,10866,11037,11061	Max MP +286, MP regeneration +7.3%, INT -2, MEN -1, WIT +3.		
2399	2399,2404,2417,5724,5740	Speed +7, Breath +200, MP regeneration +5.3%, INT +2, MEN +1, WIT -3.		
10830	10830,10841,10867,11042,11066	Speed +8, Breath +235, MP regeneration +6.2%, INT +2, MEN +1, WIT -3.		
10831	10831,10842,10868,11043,11067	Speed +10, Breath +278, MP regeneration +7.3%, INT +2, MEN +1, WIT -3.		
2400	2400,2405,547,5770,5782	Casting Spd. +15%, M. Def. +8%, Poison resistance +80%, Bleed resistance +80%, INT -2, WIT +2.		
10832	10832,10843,10648,11073,11085	Casting Spd. +17.7%, M. Def. +9.4%, Poison resistance +94%, Bleed resistance +94%, INT -2, WIT +2.		
2406	2406,2415,5716,5732	P. Def. +5.5%, Casting Spd. +15%.		
10844	10844,10863,11030,11054	P. Def. +6.4%, Casting Spd. +17.7%.		
10845	10845,10864,11031,11055	P. Def. +7.6%, Casting Spd. +20.8%.		
2407	2407,512,5767,5779	P. Def. +8%, Casting Spd. +15%, Speed +7, Cancel resistance -18, Paralysis resistance +50%, WIT +2, MEN -2.		
10846	10846,10572,11070,11082	P. Def. +9.4%, Casting Spd. +17.7%, Speed +8, Cancel resistance -21, Paralysis resistance +59%, WIT +2, MEN -2.		
2408	2408,2418,5773,5785	MP regeneration +4%, M. Atk. +8%, Sleep resistance +70%, Root resistance +70%, INT +2, WIT -2.		
10847	10847,10869,11076,11088	MP regeneration +4.7%, M. Atk. +9.4%, Sleep resistance +83%, Root resistance +83%, INT +2, WIT -2.		
2409	2409,2419,5776,5788	Max MP +240, Casting Spd. +15%, MP regeneration +8%, Stun resistance +50%, MEN +1, INT -1.		
10848	10848,10870,11079,11091	Max MP +283, Casting Spd. +17.7%, MP regeneration +9.4%, Stun resistance +59%, MEN +1, INT -1.		
6373	6373,6374,6378,6375,6376	P. Def. +8%, Max HP +445, Sleep resistance +70%, Root resistance +70%, DEX -2, STR +2.	6377	Poison resistance +80%, Bleed resistance +80%.
6379	6379,6382,6380,6381	Atk. Spd. +4%, P. Atk. +4%, Max MP +289, Weight limit +5759, DEX +1, STR +1, CON -2.		
6383	6383,6386,6384,6385	M. Atk. +17%, Speed +7, Cancel resistance -50, Weight limit +5759, WIT +1, INT +1, MEN -2, Stun resistance +50%.		
7851	7851,7850,7852,7853	P. Def. +5%, Max HP +85.		
11096	11096,11092,11100,11104	P. Def. +6.8%, Max HP +116.		
11097	11097,11093,11101,11105	P. Def. +8.5%, Max HP +144.		
11098	11098,11094,11102,11106	P. Def. +10%, Max HP +170.		
11099	11099,11095,11103,11107	P. Def. +11.8%, Max HP +201.		
7854	7854,7850,7855,7856	P. Def. +5%, Evasion +3.		
11108	11108,11092,11112,11116	P. Def. +6.8%, Evasion +4.		
11109	11109,11093,11113,11117	P. Def. +8.5%, Evasion +5.		
11110	11110,11094,11114,11118	P. Def. +10%, Evasion +6.		
11111	11111,11095,11115,11119	P. Def. +11.8%, Evasion +7.		
7857	7857,7850,7858,7859	P. Def. +5%, Casting Spd. +5%.		
11120	11120,11092,11124,11128	P. Def. +6.8%, Casting Spd. +6.8%.		
11121	11121,11093,11125,11129	P. Def. +8.5%, Casting Spd. +8.5%.		
11122	11122,11094,11126,11130	P. Def. +10%, Casting Spd. +10%.		
11123	11123,11095,11127,11131	P. Def. +11.8%, Casting Spd. +11.8%.		
7861	7861,7860,7862,7863	Max CP +232, CP regeneration +40%.		
11133	11133,11132,11134,11135	Max CP +274, CP regeneration +47.2%.		
7864	7864,7860,7865,7866	Max CP +195, CP regeneration +40%.		
11136	11136,11132,11137,11138	Max CP +230, CP regeneration +47.2%.		
7867	7867,7860,7868,7869	Max CP +177, CP regeneration +40%.		
11139	11139,11132,11140,11141	Max CP +209, CP regeneration +47.2%.		
