set	piece	slot	bodypart	armorType	from	NG	D	C	B	A	S
Knowledge Set	Tunic of Knowledge Helmet	head	head		D		11202	11206	11211	11216	11221
Knowledge Set	Tunic of Knowledge	chest	chest	MAGIC	D		436	11207	11212	11217	11222
Knowledge Set	Tunic of Knowledge Stockings	legs	legs	MAGIC	D		11203	11208	11213	11218	11223
Knowledge Set	Tunic of Knowledge Gloves	gloves	gloves		D		11204	11209	11214	11219	11224
Knowledge Set	Tunic of Knowledge Boots	feet	feet		D		11205	11210	11215	11220	11225
Mithril Robe Set	Mithril Tunic Helmet	head	head		D		11226	11230	11235	11240	11245
Mithril Robe Set	Mithril Tunic	chest	chest	MAGIC	D		437	11231	11236	11241	11246
Mithril Robe Set	Mithril Tunic Stockings	legs	legs	MAGIC	D		11227	11232	11237	11242	11247
Mithril Robe Set	Mithril Tunic Gloves	gloves	gloves		D		11228	11233	11238	11243	11248
Mithril Robe Set	Mithril Tunic Boots	feet	feet		D		11229	11234	11239	11244	11249
Sage's Rag Set	Sage's Rag Helmet	head	head		D		11250	11253	11257	11261	11265
Sage's Rag Set	Sage's Rag	chest	fullarmor	MAGIC	D		438	11254	11258	11262	11266
Sage's Rag Set	Sage's Rag Gloves	gloves	gloves		D		11251	11255	11259	11263	11267
Sage's Rag Set	Sage's Rag Boots	feet	feet		D		11252	11256	11260	11264	11268
Karmian Set	Karmian Tunic Helmet	head	head		C			11269	11273	11278	11283
Karmian Set	Karmian Tunic	chest	chest	MAGIC	C			439	11274	11279	11284
Karmian Set	Karmian Tunic Stockings	legs	legs	MAGIC	C			11270	11275	11280	11285
Karmian Set	Karmian Tunic Gloves	gloves	gloves		C			11271	11276	11281	11286
Karmian Set	Karmian Tunic Boots	feet	feet		C			11272	11277	11282	11287
Robe of Seal Set	Robe of Seal Helmet	head	head		C			11288	11291	11295	11299
Robe of Seal Set	Robe of Seal	chest	fullarmor	MAGIC	C			440	11292	11296	11300
Robe of Seal Set	Robe of Seal Gloves	gloves	gloves		C			11289	11293	11297	11301
Robe of Seal Set	Robe of Seal Boots	feet	feet		C			11290	11294	11298	11302
Demon Set	Demon's Tunic Helmet	head	head		C			11303	11307	11312	11317
Demon Set	Demon's Tunic	chest	chest	MAGIC	C			441	11308	11313	11318
Demon Set	Demon's Tunic Stockings	legs	legs	MAGIC	C			11304	11309	11314	11319
Demon Set	Demon's Tunic Gloves	gloves	gloves		C			11305	11310	11315	11320
Demon Set	Demon's Tunic Boots	feet	feet		C			11306	11311	11316	11321
Divine Set	Divine Tunic Helmet	head	head		C			11322	11326	11331	11336
Divine Set	Divine Tunic	chest	chest	MAGIC	C			442	11327	11332	11337
Divine Set	Divine Tunic Stockings	legs	legs	MAGIC	C			11323	11328	11333	11338
Divine Set	Divine Tunic Gloves	gloves	gloves		C			11324	11329	11334	11339
Divine Set	Divine Tunic Boots	feet	feet		C			11325	11330	11335	11340
Tunic of Mana Set	Tunic of Mana Helmet	head	head		B				11341	11345	11350
Tunic of Mana Set	Tunic of Mana	chest	chest	MAGIC	B				443	11346	11351
Tunic of Mana Set	Tunic of Mana Stockings	legs	legs	LIGHT	B				11342	11347	11352
Tunic of Mana Set	Tunic of Mana Gloves	gloves	gloves		B				11343	11348	11353
Tunic of Mana Set	Tunic of Mana Boots	feet	feet		B				11344	11349	11354
Sage's Robe Set	Sage's Robe Helmet	head	head		B				11355	11358	11362
Sage's Robe Set	Sage's Robe	chest	fullarmor	MAGIC	B				444	11359	11363
Sage's Robe Set	Sage's Robe Gloves	gloves	gloves		B				11356	11360	11364
Sage's Robe Set	Sage's Robe Boots	feet	feet		B				11357	11361	11365
Paradia Set	Paradia Tunic Helmet	head	head		B				11366	11370	11375
Paradia Set	Paradia Tunic	chest	chest	MAGIC	B				445	11371	11376
Paradia Set	Paradia Tunic Stockings	legs	legs	LIGHT	B				11367	11372	11377
Paradia Set	Paradia Tunic Gloves	gloves	gloves		B				11368	11373	11378
Paradia Set	Paradia Tunic Boots	feet	feet		B				11369	11374	11379
Inferno Set	Inferno Tunic Helmet	head	head		B				11380	11384	11389
Inferno Set	Inferno Tunic	chest	chest	MAGIC	B				446	11385	11390
Inferno Set	Inferno Tunic Stockings	legs	legs	LIGHT	B				11381	11386	11391
Inferno Set	Inferno Tunic Gloves	gloves	gloves		B				11382	11387	11392
Inferno Set	Inferno Tunic Boots	feet	feet		B				11383	11388	11393
Tunic of Solar Eclipse Set	Tunic of Solar Eclipse Helmet	head	head		B				11394	11398	11403
Tunic of Solar Eclipse Set	Tunic of Solar Eclipse	chest	chest	MAGIC	B				447	11399	11404
Tunic of Solar Eclipse Set	Tunic of Solar Eclipse Stockings	legs	legs	LIGHT	B				11395	11400	11405
Tunic of Solar Eclipse Set	Tunic of Solar Eclipse Gloves	gloves	gloves		B				11396	11401	11406
Tunic of Solar Eclipse Set	Tunic of Solar Eclipse Boots	feet	feet		B				11397	11402	11407
Robe of Black Ore Set	Robe of Black Ore Helmet	head	head		B				11408	11411	11415
Robe of Black Ore Set	Robe of Black Ore	chest	fullarmor	MAGIC	B				448	11412	11416
Robe of Black Ore Set	Robe of Black Ore Gloves	gloves	gloves		B				11409	11413	11417
Robe of Black Ore Set	Robe of Black Ore Boots	feet	feet		B				11410	11414	11418
Tunic of Summoning Set	Tunic of Summoning Helmet	head	head		B				11419	11423	11428
Tunic of Summoning Set	Tunic of Summoning	chest	chest	MAGIC	B				449	11424	11429
Tunic of Summoning Set	Tunic of Summoning Stockings	legs	legs	LIGHT	B				11420	11425	11430
Tunic of Summoning Set	Tunic of Summoning Gloves	gloves	gloves		B				11421	11426	11431
Tunic of Summoning Set	Tunic of Summoning Boots	feet	feet		B				11422	11427	11432
Otherworldly Set	Otherworldly Robe Helmet	head	head		B				11433	11436	11440
Otherworldly Set	Otherworldly Robe	chest	fullarmor	MAGIC	B				450	11437	11441
Otherworldly Set	Otherworldly Robe Gloves	gloves	gloves		B				11434	11438	11442
Otherworldly Set	Otherworldly Robe Boots	feet	feet		B				11435	11439	11443
Elemental Set	Elemental Tunic Helmet	head	head		B				11444	11448	11453
Elemental Set	Elemental Tunic	chest	chest	MAGIC	B				451	11449	11454
Elemental Set	Elemental Tunic Stockings	legs	legs	LIGHT	B				11445	11450	11455
Elemental Set	Elemental Tunic Gloves	gloves	gloves		B				11446	11451	11456
Elemental Set	Elemental Tunic Boots	feet	feet		B				11447	11452	11457
Tunic of Phantom Set	Tunic of Phantom Helmet	head	head		B				11458	11462	11467
Tunic of Phantom Set	Tunic of Phantom	chest	chest	MAGIC	B				452	11463	11468
Tunic of Phantom Set	Tunic of Phantom Stockings	legs	legs	LIGHT	B				11459	11464	11469
Tunic of Phantom Set	Tunic of Phantom Gloves	gloves	gloves		B				11460	11465	11470
Tunic of Phantom Set	Tunic of Phantom Boots	feet	feet		B				11461	11466	11471
Tunic of Grace Set	Tunic of Grace Helmet	head	head		B				11472	11476	11481
Tunic of Grace Set	Tunic of Grace	chest	chest	MAGIC	B				453	11477	11482
Tunic of Grace Set	Tunic of Grace Stockings	legs	legs	LIGHT	B				11473	11478	11483
Tunic of Grace Set	Tunic of Grace Gloves	gloves	gloves		B				11474	11479	11484
Tunic of Grace Set	Tunic of Grace Boots	feet	feet		B				11475	11480	11485
Robe of Holy Spirit Set	Robe of Holy Spirit Helmet	head	head		B				11486	11489	11493
Robe of Holy Spirit Set	Robe of Holy Spirit	chest	fullarmor	MAGIC	B				454	11490	11494
Robe of Holy Spirit Set	Robe of Holy Spirit Gloves	gloves	gloves		B				11487	11491	11495
Robe of Holy Spirit Set	Robe of Holy Spirit Boots	feet	feet		B				11488	11492	11496
Phoenix Set	Phoenix Tunic Helmet	head	head		B				11497	11501	11506
Phoenix Set	Phoenix Tunic	chest	chest	MAGIC	B				455	11502	11507
Phoenix Set	Phoenix Tunic Stockings	legs	legs	LIGHT	B				11498	11503	11508
Phoenix Set	Phoenix Tunic Gloves	gloves	gloves		B				11499	11504	11509
Phoenix Set	Phoenix Tunic Boots	feet	feet		B				11500	11505	11510
Cerberus Set	Cerberus Tunic Helmet	head	head		B				11511	11515	11520
Cerberus Set	Cerberus Tunic	chest	chest	MAGIC	B				456	11516	11521
Cerberus Set	Cerberus Tunic Stockings	legs	legs	LIGHT	B				11512	11517	11522
Cerberus Set	Cerberus Tunic Gloves	gloves	gloves		B				11513	11518	11523
Cerberus Set	Cerberus Tunic Boots	feet	feet		B				11514	11519	11524
Tunic of Aid Set	Tunic of Aid Helmet	head	head		B				11525	11529	11534
Tunic of Aid Set	Tunic of Aid	chest	chest	MAGIC	B				457	11530	11535
Tunic of Aid Set	Tunic of Aid Stockings	legs	legs	LIGHT	B				11526	11531	11536
Tunic of Aid Set	Tunic of Aid Gloves	gloves	gloves		B				11527	11532	11537
Tunic of Aid Set	Tunic of Aid Boots	feet	feet		B				11528	11533	11538
Robe of Blessing Set	Robe of Blessing Helmet	head	head		B				11539	11542	11546
Robe of Blessing Set	Robe of Blessing	chest	fullarmor	MAGIC	B				458	11543	11547
Robe of Blessing Set	Robe of Blessing Gloves	gloves	gloves		B				11540	11544	11548
Robe of Blessing Set	Robe of Blessing Boots	feet	feet		B				11541	11545	11549
Dasparion's Set	Dasparion's Robe Helmet	head	head		A					11550	11553
Dasparion's Set	Dasparion's Robe	chest	fullarmor	MAGIC	A					459	11554
Dasparion's Set	Dasparion's Robe Gloves	gloves	gloves		A					11551	11555
Dasparion's Set	Dasparion's Robe Boots	feet	feet		A					11552	11556
The Set	The Robe Helmet	head	head		S						11557
The Set	The Robe	chest	fullarmor	MAGIC	S						460
The Set	The Robe Gloves	gloves	gloves		S						11558
The Set	The Robe Boots	feet	feet		S						11559
Cotton Tunic Set	Cotton Tunic Helmet	head	head		NG	11560	11564	11569	11574	11579	11584
Cotton Tunic Set	Cotton Tunic	chest	chest	MAGIC	NG	1100	11565	11570	11575	11580	11585
Cotton Tunic Set	Cotton Tunic Stockings	legs	legs	MAGIC	NG	11561	11566	11571	11576	11581	11586
Cotton Tunic Set	Cotton Tunic Gloves	gloves	gloves		NG	11562	11567	11572	11577	11582	11587
Cotton Tunic Set	Cotton Tunic Boots	feet	feet		NG	11563	11568	11573	11578	11583	11588
Devotion Set	Tunic of Devotion Helmet	head	head		NG	11589	11593	11598	11603	11608	11613
Devotion Set	Tunic of Devotion	chest	chest	MAGIC	NG	1101	11594	11599	11604	11609	11614
Devotion Set	Tunic of Devotion Stockings	legs	legs	MAGIC	NG	11590	11595	11600	11605	11610	11615
Devotion Set	Tunic of Devotion Gloves	gloves	gloves		NG	11591	11596	11601	11606	11611	11616
Devotion Set	Tunic of Devotion Boots	feet	feet		NG	11592	11597	11602	11607	11612	11617
Tunic of Magic Set	Tunic of Magic Helmet	head	head		NG	11618	11622	11627	11632	11637	11642
Tunic of Magic Set	Tunic of Magic	chest	chest	MAGIC	NG	1102	11623	11628	11633	11638	11643
Tunic of Magic Set	Tunic of Magic Stockings	legs	legs	MAGIC	NG	11619	11624	11629	11634	11639	11644
Tunic of Magic Set	Tunic of Magic Gloves	gloves	gloves		NG	11620	11625	11630	11635	11640	11645
Tunic of Magic Set	Tunic of Magic Boots	feet	feet		NG	11621	11626	11631	11636	11641	11646
Squire's Set	Squire's Shirt Helmet	head	head		NG	11647	11651	11656	11661	11666	11671
Squire's Set	Squire's Shirt	chest	chest	LIGHT	NG	1146	11652	11657	11662	11667	11672
Squire's Set	Squire's Shirt Gaiters	legs	legs	LIGHT	NG	11648	11653	11658	11663	11668	11673
Squire's Set	Squire's Shirt Gloves	gloves	gloves		NG	11649	11654	11659	11664	11669	11674
Squire's Set	Squire's Shirt Boots	feet	feet		NG	11650	11655	11660	11665	11670	11675
Avadon Heavy Set	Avadon Breastplate Helmet	head	head		B				11676	11680	11685
Avadon Heavy Set	Avadon Breastplate	chest	chest	HEAVY	B				2376	11681	11686
Avadon Heavy Set	Avadon Breastplate Gaiters	legs	legs	HEAVY	B				11677	11682	11687
Avadon Heavy Set	Avadon Breastplate Gloves	gloves	gloves		B				11678	11683	11688
Avadon Heavy Set	Avadon Breastplate Boots	feet	feet		B				11679	11684	11689
Doom Heavy Set	Doom Plate Armor Helmet	head	head		B				11690	11693	11697
Doom Heavy Set	Doom Plate Armor	chest	fullarmor	HEAVY	B				2381	11694	11698
Doom Heavy Set	Doom Plate Armor Gloves	gloves	gloves		B				11691	11695	11699
Doom Heavy Set	Doom Plate Armor Boots	feet	feet		B				11692	11696	11700
Tallum Heavy Set	Tallum Plate Armor Helmet	head	head		A					11701	11704
Tallum Heavy Set	Tallum Plate Armor	chest	fullarmor	HEAVY	A					2382	11705
Tallum Heavy Set	Tallum Plate Armor Gloves	gloves	gloves		A					11702	11706
Tallum Heavy Set	Tallum Plate Armor Boots	feet	feet		A					11703	11707
Majestic Heavy Set	Majestic Plate Armor Helmet	head	head		A					11708	11711
Majestic Heavy Set	Majestic Plate Armor	chest	fullarmor	HEAVY	A					2383	11712
Majestic Heavy Set	Majestic Plate Armor Gloves	gloves	gloves		A					11709	11713
Majestic Heavy Set	Majestic Plate Armor Boots	feet	feet		A					11710	11714
Zubei Light Set	Zubei's Leather Shirt Helmet	head	head		B				11715	11719	11724
Zubei Light Set	Zubei's Leather Shirt	chest	chest	LIGHT	B				2384	11720	11725
Zubei Light Set	Zubei's Leather Shirt Gaiters	legs	legs	LIGHT	B				11716	11721	11726
Zubei Light Set	Zubei's Leather Shirt Gloves	gloves	gloves		B				11717	11722	11727
Zubei Light Set	Zubei's Leather Shirt Boots	feet	feet		B				11718	11723	11728
Dark Crystal Light Set	Dark Crystal Leather Armor Helmet	head	head		A					11729	11733
Dark Crystal Light Set	Dark Crystal Leather Armor	chest	chest	LIGHT	A					2385	11734
Dark Crystal Light Set	Dark Crystal Leather Armor Gaiters	legs	legs	LIGHT	A					11730	11735
Dark Crystal Light Set	Dark Crystal Leather Armor Gloves	gloves	gloves		A					11731	11736
Dark Crystal Light Set	Dark Crystal Leather Armor Boots	feet	feet		A					11732	11737
Avadon Light Set	Avadon Leather Armor Helmet	head	head		B				11738	11741	11745
Avadon Light Set	Avadon Leather Armor	chest	fullarmor	LIGHT	B				2390	11742	11746
Avadon Light Set	Avadon Leather Armor Gloves	gloves	gloves		B				11739	11743	11747
Avadon Light Set	Avadon Leather Armor Boots	feet	feet		B				11740	11744	11748
Blue Wolf Light Set	Blue Wolf Leather Armor Helmet	head	head		B				11749	11752	11756
Blue Wolf Light Set	Blue Wolf Leather Armor	chest	fullarmor	LIGHT	B				2391	11753	11757
Blue Wolf Light Set	Blue Wolf Leather Armor Gloves	gloves	gloves		B				11750	11754	11758
Blue Wolf Light Set	Blue Wolf Leather Armor Boots	feet	feet		B				11751	11755	11759
Doom Light Set	Leather Armor of Doom Helmet	head	head		B				11760	11763	11767
Doom Light Set	Leather Armor of Doom	chest	fullarmor	LIGHT	B				2392	11764	11768
Doom Light Set	Leather Armor of Doom Gloves	gloves	gloves		B				11761	11765	11769
Doom Light Set	Leather Armor of Doom Boots	feet	feet		B				11762	11766	11770
Tallum Light Set	Tallum Leather Armor Helmet	head	head		A					11771	11774
Tallum Light Set	Tallum Leather Armor	chest	fullarmor	LIGHT	A					2393	11775
Tallum Light Set	Tallum Leather Armor Gloves	gloves	gloves		A					11772	11776
Tallum Light Set	Tallum Leather Armor Boots	feet	feet		A					11773	11777
Nightmare Light Set	Nightmarish Leather Armor Helmet	head	head		A					11778	11781
Nightmare Light Set	Nightmarish Leather Armor	chest	fullarmor	LIGHT	A					2394	11782
Nightmare Light Set	Nightmarish Leather Armor Gloves	gloves	gloves		A					11779	11783
Nightmare Light Set	Nightmarish Leather Armor Boots	feet	feet		A					11780	11784
Majestic Leather Set	Majestic Leather Armor Helmet	head	head		A					11785	11788
Majestic Leather Set	Majestic Leather Armor	chest	fullarmor	LIGHT	A					2395	11789
Majestic Leather Set	Majestic Leather Armor Gloves	gloves	gloves		A					11786	11790
Majestic Leather Set	Majestic Leather Armor Boots	feet	feet		A					11787	11791
Zubei Robe Set	Tunic of Zubei Helmet	head	head		B				11792	11796	11801
Zubei Robe Set	Tunic of Zubei	chest	chest	MAGIC	B				2397	11797	11802
Zubei Robe Set	Tunic of Zubei Stockings	legs	legs	MAGIC	B				11793	11798	11803
Zubei Robe Set	Tunic of Zubei Gloves	gloves	gloves		B				11794	11799	11804
Zubei Robe Set	Tunic of Zubei Boots	feet	feet		B				11795	11800	11805
Blue Wolf Robe Set	Blue Wolf Tunic Helmet	head	head		B				11806	11810	11815
Blue Wolf Robe Set	Blue Wolf Tunic	chest	chest	MAGIC	B				2398	11811	11816
Blue Wolf Robe Set	Blue Wolf Tunic Stockings	legs	legs	MAGIC	B				11807	11812	11817
Blue Wolf Robe Set	Blue Wolf Tunic Gloves	gloves	gloves		B				11808	11813	11818
Blue Wolf Robe Set	Blue Wolf Tunic Boots	feet	feet		B				11809	11814	11819
Doom Robe Set	Tunic of Doom Helmet	head	head		B				11820	11824	11829
Doom Robe Set	Tunic of Doom	chest	chest	MAGIC	B				2399	11825	11830
Doom Robe Set	Tunic of Doom Stockings	legs	legs	MAGIC	B				11821	11826	11831
Doom Robe Set	Tunic of Doom Gloves	gloves	gloves		B				11822	11827	11832
Doom Robe Set	Tunic of Doom Boots	feet	feet		B				11823	11828	11833
Tallum Robe Set	Tallum Tunic Helmet	head	head		A					11834	11838
Tallum Robe Set	Tallum Tunic	chest	chest	MAGIC	A					2400	11839
Tallum Robe Set	Tallum Tunic Stockings	legs	legs	MAGIC	A					11835	11840
Tallum Robe Set	Tallum Tunic Gloves	gloves	gloves		A					11836	11841
Tallum Robe Set	Tallum Tunic Boots	feet	feet		A					11837	11842
Avadon Robe Set	Avadon Robe Helmet	head	head		B				11843	11846	11850
Avadon Robe Set	Avadon Robe	chest	fullarmor	MAGIC	B				2406	11847	11851
Avadon Robe Set	Avadon Robe Gloves	gloves	gloves		B				11844	11848	11852
Avadon Robe Set	Avadon Robe Boots	feet	feet		B				11845	11849	11853
Dark Crystal Robe Set	Dark Crystal Robe Helmet	head	head		A					11854	11857
Dark Crystal Robe Set	Dark Crystal Robe	chest	fullarmor	MAGIC	A					2407	11858
Dark Crystal Robe Set	Dark Crystal Robe Gloves	gloves	gloves		A					11855	11859
Dark Crystal Robe Set	Dark Crystal Robe Boots	feet	feet		A					11856	11860
Nightmare Robe Set	Nightmare Robe Helmet	head	head		A					11861	11864
Nightmare Robe Set	Nightmare Robe	chest	fullarmor	MAGIC	A					2408	11865
Nightmare Robe Set	Nightmare Robe Gloves	gloves	gloves		A					11862	11866
Nightmare Robe Set	Nightmare Robe Boots	feet	feet		A					11863	11867
Majestic Robe Set	Majestic Robe Helmet	head	head		A					11868	11871
Majestic Robe Set	Majestic Robe	chest	fullarmor	MAGIC	A					2409	11872
Majestic Robe Set	Majestic Robe Gloves	gloves	gloves		A					11869	11873
Majestic Robe Set	Majestic Robe Boots	feet	feet		A					11870	11874
Imperial Crusader Set	Imperial Crusader Breastplate Helmet	head	head		S						11875
Imperial Crusader Set	Imperial Crusader Breastplate	chest	chest	HEAVY	S						6373
Imperial Crusader Set	Imperial Crusader Breastplate Gaiters	legs	legs	HEAVY	S						11876
Imperial Crusader Set	Imperial Crusader Breastplate Gloves	gloves	gloves		S						11877
Imperial Crusader Set	Imperial Crusader Breastplate Boots	feet	feet		S						11878
Draconic Leather Set	Draconic Leather Armor Helmet	head	head		S						11879
Draconic Leather Set	Draconic Leather Armor	chest	fullarmor	LIGHT	S						6379
Draconic Leather Set	Draconic Leather Armor Gloves	gloves	gloves		S						11880
Draconic Leather Set	Draconic Leather Armor Boots	feet	feet		S						11881
Major Arcana Set	Major Arcana Robe Helmet	head	head		S						11882
Major Arcana Set	Major Arcana Robe	chest	fullarmor	MAGIC	S						6383
Major Arcana Set	Major Arcana Robe Gloves	gloves	gloves		S						11883
Major Arcana Set	Major Arcana Robe Boots	feet	feet		S						11884
Clan Oath Heavy Set	Clan Oath Armor Helmet	head	head		D		11885	11888	11892	11896	11900
Clan Oath Heavy Set	Clan Oath Armor	chest	fullarmor	HEAVY	D		7851	11889	11893	11897	11901
Clan Oath Heavy Set	Clan Oath Armor Gloves	gloves	gloves		D		11886	11890	11894	11898	11902
Clan Oath Heavy Set	Clan Oath Armor Boots	feet	feet		D		11887	11891	11895	11899	11903
Clan Oath Light Set	Clan Oath Brigandine Helmet	head	head		D		11904	11907	11911	11915	11919
Clan Oath Light Set	Clan Oath Brigandine	chest	fullarmor	LIGHT	D		7854	11908	11912	11916	11920
Clan Oath Light Set	Clan Oath Brigandine Gloves	gloves	gloves		D		11905	11909	11913	11917	11921
Clan Oath Light Set	Clan Oath Brigandine Boots	feet	feet		D		11906	11910	11914	11918	11922
Clan Oath Robe Set	Clan Oath Aketon Helmet	head	head		D		11923	11926	11930	11934	11938
Clan Oath Robe Set	Clan Oath Aketon	chest	fullarmor	MAGIC	D		7857	11927	11931	11935	11939
Clan Oath Robe Set	Clan Oath Aketon Gloves	gloves	gloves		D		11924	11928	11932	11936	11940
Clan Oath Robe Set	Clan Oath Aketon Boots	feet	feet		D		11925	11929	11933	11937	11941
Apella Heavy Set	Apella Plate Armor Helmet	head	head		A					11942	11945
Apella Heavy Set	Apella Plate Armor	chest	fullarmor	HEAVY	A					7861	11946
Apella Heavy Set	Apella Plate Armor Gloves	gloves	gloves		A					11943	11947
Apella Heavy Set	Apella Plate Armor Boots	feet	feet		A					11944	11948
Apella Light Set	Apella Brigandine Helmet	head	head		A					11949	11952
Apella Light Set	Apella Brigandine	chest	fullarmor	LIGHT	A					7864	11953
Apella Light Set	Apella Brigandine Gloves	gloves	gloves		A					11950	11954
Apella Light Set	Apella Brigandine Boots	feet	feet		A					11951	11955
Apella Robe Set	Apella Doublet Helmet	head	head		A					11956	11959
Apella Robe Set	Apella Doublet	chest	fullarmor	MAGIC	A					7867	11960
Apella Robe Set	Apella Doublet Gloves	gloves	gloves		A					11957	11961
Apella Robe Set	Apella Doublet Boots	feet	feet		A					11958	11962
