"id","reason","name"
"17000","no-server-item","Ìîíåòà ñ÷àñòüÿ"
"17001","no-server-item",""
"17002","no-server-item",""
"17003","no-server-item",""
"17004","no-server-item",""
"17005","no-server-item",""
"17006","no-server-item",""
"18001","no-server-item","Dynasty Rapier*Dynasty Rapier"
"18002","no-server-item","Dynasty Dagger*Dynasty Dagger"
"18003","no-server-item","Dynasty Blade*Dynasty Blade"
"18004","no-server-item","Dynasty Magic Sword*Dynasty Magic Sword"
"18005","no-server-item","Dynasty Magic Sword*Dynasty Rapier"
"18006","no-server-item","Dynasty Blade*Dynasty Magic Sword"
"20001","no-server-item",""
"20002","no-server-item",""
"20003","no-server-item",""
"20004","no-server-item",""
"20005","no-server-item",""
"20006","no-server-item",""
"70000","no-server-item",""
"70001","no-server-item",""
"70002","no-server-item",""
"70003","no-server-item",""
"666666","no-server-item",""
"666667","no-server-item",""
